uf,codigo_municipio,municipio,taxa_aprovacao_2023,indicador_rendimento_2023,nota_matematica_2023,nota_portugues_2023,nota_media_2023,ideb_2023
MA,2102903,Carutapera,95.6,0.956704,252.89,251.95,5.080667,4.9
MA,2103000,Caxias,87.6,0.875701,240.31,249.18,4.824833,4.2
MA,2103109,Cedral,95.5,0.955925,247.33,257.92,5.0875,4.9
MA,2103125,Central do Maranhão,94.8,0.949525,223.44,231.25,4.244833,4.0
MA,2103158,Centro do Guilherme,97.5,0.975901,216.8,220.23,3.9505,3.9
MA,2103174,Centro Novo do Maranhão,91.6,0.915169,219.98,225.51,4.0915,3.7
MA,2103208,Chapadinha,98.5,0.985242,217.71,223.12,4.013833,4.0
MA,2103257,Cidelândia,95.8,0.958717,240.89,244.99,4.764667,4.6
MA,2103307,Codó,89.2,0.891591,230.38,238.77,4.485833,4.0
MA,2103406,Coelho Neto,85.2,0.850563,227.93,231.26,4.319833,3.7
MA,2103505,Colinas,96.5,0.965247,225.4,226.09,4.1915,4.0
MA,2103554,Conceição do Lago-Açu,96.4,0.962273,228.65,224.12,4.212833,4.1
MA,2103604,Coroatá,97.2,0.971651,231.71,235.25,4.449333,4.3
MA,2103703,Cururupu,92.1,0.92258,232.2,240.02,4.537,4.2
MA,2103752,Davinópolis,75.2,0.754093,229.36,239.88,4.487333,3.4
MA,2103802,Dom Pedro,95.9,0.958457,252.58,256.5,5.151333,4.9
MA,2103901,Duque Bacelar,92.8,0.928016,260.48,251.06,5.192333,4.8
MA,2104008,Esperantinópolis,95.5,0.953901,233.68,244.74,4.640333,4.4
MA,2104057,Estreito,87.8,0.877882,242.1,246.46,4.809333,4.2
MA,2104073,Feira Nova do Maranhão,94.5,0.944124,243.06,241.44,4.741667,4.5
MA,2104081,Fernando Falcão,93.9,0.939701,231.06,222.97,4.233833,4.0
MA,2104099,Formosa da Serra Negra,97.8,0.977563,244.27,238.44,4.711833,4.6
MA,2104107,Fortaleza dos Nogueiras,97.2,0.973874,246.06,250.97,4.9505,4.8
MA,2104206,Fortuna,98.3,0.9829,249.42,246.82,4.937333,4.9
MA,2104305,Godofredo Viana,99.9,0.998241,250.07,251.77,5.030667,5.0
MA,2104404,Gonçalves Dias,97.7,0.977724,246.56,250.08,4.944,4.8
MA,2104503,Governador Archer,95.7,0.955281,228.98,232.13,4.351833,4.2
MA,2104552,Governador Edison Lobão,94.4,0.945841,233.64,236.55,4.503167,4.3
MA,2104602,Governador Eugênio Barros,79.5,0.79454,223.17,228.39,4.192667,3.3
MA,2104628,Governador Luiz Rocha,84.5,0.846284,234.59,235.19,4.496333,3.8
MA,2104651,Governador Newton Bello,81.9,0.819764,234.99,231.28,4.437833,3.6
MA,2104677,Governador Nunes Freire,90.6,0.906894,228.27,228.74,4.2835,3.9
MA,2104701,Graça Aranha,88.9,0.891293,234.51,231.43,4.432333,4.0
MA,2104800,Grajaú,88.7,0.887996,234.68,236.08,4.512667,4.0
MA,2104909,Guimarães,90.0,0.89651,240.96,248.23,4.819833,4.3
MA,2105005,Humberto de Campos,92.5,0.925377,229.24,235.87,4.4185,4.1
MA,2105104,Icatu,88.4,0.88413,233.64,237.31,4.515833,4.0
MA,2105153,Igarapé do Meio,90.4,0.903065,236.12,245.97,4.7015,4.2
MA,2105203,Igarapé Grande,98.9,0.988435,248.77,253.85,5.043667,5.0
MA,2105302,Imperatriz,93.6,0.936126,246.21,253.72,4.998833,4.7
MA,2105351,Itaipava do Grajaú,94.6,0.94614,237.38,236.36,4.562333,4.3
MA,2105401,Itapecuru Mirim,94.9,0.949386,228.08,234.87,4.3825,4.2
MA,2105427,Itinga do Maranhão,88.1,0.881567,239.56,245.75,4.755167,4.2
MA,2105450,Jatobá,82.9,0.828549,254.38,244.46,4.980667,4.1
MA,2105476,Jenipapo dos Vieiras,83.2,0.831148,212.64,224.02,3.944333,3.3
MA,2105500,João Lisboa,91.5,0.914629,230.47,242.27,4.545667,4.2
MA,2105609,Joselândia,99.1,0.990679,242.32,245.19,4.791833,4.7
MA,2105658,Junco do Maranhão,96.6,0.965961,241.79,242.62,4.740167,4.6
MA,2105708,Lago da Pedra,97.0,0.969309,234.76,244.37,4.652167,4.5
MA,2105807,Lago do Junco,100.0,1.0,239.71,242.59,4.705,4.7
MA,2105906,Lago Verde,89.1,0.889996,228.27,234.65,4.382,3.9
MA,2105922,Lagoa do Mato,99.6,0.995729,251.19,248.86,5.000833,5.0
MA,2105948,Lago dos Rodrigues,98.4,0.983933,233.6,230.18,4.396333,4.3
MA,2105963,Lagoa Grande do Maranhão,95.4,0.951548,245.75,239.55,4.755,4.5
MA,2105989,Lajeado Novo,97.6,0.975505,230.69,238.94,4.493833,4.4
